  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   96     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   97     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   98     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   99     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  100     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  101     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  102     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  103     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  104     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  105     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  106     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  107     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  108     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  109     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  110     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  111     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  112     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  113     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  114     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  115     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  116     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  117     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  118     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  119     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  120     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  121     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  122     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  123     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  124     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  125     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  126     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  127     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  128     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  129     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  130     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  131     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  132     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  133     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  134     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  135     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  136     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  137     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  138     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  139     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  140     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  141     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  142     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  143     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  144     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  145     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  146     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  147     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  148     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  149     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  150     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  151     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  152     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  153     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  154     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
  155     0.50000     8.04500     4.49000     3.34550     0.00000     0.00000
  156     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  157     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  158     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  159     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  160     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  161     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  162     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  163     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  164     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  165     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  166     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  167     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  168     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  169     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  170     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  171     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  172     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  173     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  174     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  175     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  176     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  177     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  178     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  179     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  180     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  181     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  182     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  183     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  184     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  185     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  186     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  187     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  188     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  189     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  190     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  191     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  192     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  193     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  194     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  195     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  196     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  197     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  198     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  199     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000
  200     0.50000     8.04750     4.49500     3.35840     0.00000     0.00000


                      RAYLEIGH WAVE      MODE #  0
        T = 0.1000E+02 C =    0.3250E+01 U   = 0.3029E+01
        AR= 0.1389E-02 GAMMA= 0.0000E+00 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.688E+00  0.000E+00  0.100E+01  0.000E+00 -0.113E-01  0.150E-01  0.178E-01 -0.529E-02
    2   0.596E+00  0.635E+00  0.102E+01 -0.483E+00 -0.113E-01  0.128E-01  0.115E-01 -0.101E-01
