RMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0     1   0.2000000000        5.000000000        3.166028931    
    0     2   0.2003913894        4.990234375        3.166028931    
    0     3   0.2007843137        4.980468750        3.166028931    
    0     4   0.2011787819        4.970703125        3.166028931    
    0     5   0.2015748031        4.960937500        3.166028931    
    0     6   0.2019723866        4.951171875        3.166028931    
    0     7   0.2023715415        4.941406250        3.166028931    
    0     8   0.2027722772        4.931640625        3.166028931    
    0     9   0.2031746032        4.921875000        3.166028931    
    0    10   0.2035785288        4.912109375        3.166028931    
    0    11   0.2039840637        4.902343750        3.166028931    
    0    12   0.2043912176        4.892578125        3.166028931    
    0    13   0.2048000000        4.882812500        3.166028931    
    0    14   0.2052104208        4.873046875        3.166028931    
    0    15   0.2056224900        4.863281250        3.166028931    
    0    16   0.2060362173        4.853515625        3.166028931    
    0    17   0.2064516129        4.843750000        3.166028931    
    0    18   0.2068686869        4.833984375        3.166028931    
    0    19   0.2072874494        4.824218750        3.166028931    
    0    20   0.2077079108        4.814453125        3.166028931    
    0    21   0.2081300813        4.804687500        3.166028931    
    0    22   0.2085539715        4.794921875        3.166028931    
    0    23   0.2089795918        4.785156250        3.166028931    
    0    24   0.2094069530        4.775390625        3.166028931    
    0    25   0.2098360656        4.765625000        3.166028931    
    0    26   0.2102669405        4.755859375        3.166028931    
    0    27   0.2106995885        4.746093750        3.166028931    
    0    28   0.2111340206        4.736328125        3.166028931    
    0    29   0.2115702479        4.726562500        3.166028931    
    0    30   0.2120082816        4.716796875        3.166028931    
    0    31   0.2124481328        4.707031250        3.166028931    
    0    32   0.2128898129        4.697265625        3.166028931    
    0    33   0.2133333333        4.687500000        3.166028931    
    0    34   0.2137787056        4.677734375        3.166028931    
    0    35   0.2142259414        4.667968750        3.166028931    
    0    36   0.2146750524        4.658203125        3.166028931    
    0    37   0.2151260504        4.648437500        3.166028931    
    0    38   0.2155789474        4.638671875        3.166028931    
    0    39   0.2160337553        4.628906250        3.166028931    
    0    40   0.2164904863        4.619140625        3.166028931    
    0    41   0.2169491525        4.609375000        3.166028931    
    0    42   0.2174097665        4.599609375        3.166028931    
    0    43   0.2178723404        4.589843750        3.166028931    
    0    44   0.2183368870        4.580078125        3.166028931    
    0    45   0.2188034188        4.570312500        3.166028931    
    0    46   0.2192719486        4.560546875        3.166028931    
    0    47   0.2197424893        4.550781250        3.166028931    
    0    48   0.2202150538        4.541015625        3.166028931    
    0    49   0.2206896552        4.531250000        3.166028931    
    0    50   0.2211663067        4.521484375        3.166028931    
    0    51   0.2216450216        4.511718750        3.166028931    
    0    52   0.2221258134        4.501953125        3.166028931    
    0    53   0.2226086957        4.492187500        3.166028931    
    0    54   0.2230936819        4.482421875        3.166028931    
    0    55   0.2235807860        4.472656250        3.166028931    
    0    56   0.2240700219        4.462890625        3.166028931    
    0    57   0.2245614035        4.453125000        3.166028931    
    0    58   0.2250549451        4.443359375        3.166028931    
    0    59   0.2255506608        4.433593750        3.166028931    
    0    60   0.2260485651        4.423828125        3.166028931    
    0    61   0.2265486726        4.414062500        3.166028931    
    0    62   0.2270509978        4.404296875        3.166028931    
    0    63   0.2275555556        4.394531250        3.166028931    
    0    64   0.2280623608        4.384765625        3.166028931    
    0    65   0.2285714286        4.375000000        3.166028931    
    0    66   0.2290827740        4.365234375        3.166028931    
